b ,h,b' ,h' ,fc,ALfyL ,Atfyt/s ,Ts 
178,356,146,324,39.6,204.915,192.66,20.8
160,275,120,235,41.7,580.545,957.28,16.62
160,275,120,235,38.2,584.037,985.072,15.29
160,275,120,235,61.8,580.545,944.928,19.95
160,275,120,235,57.1,580.545,948.016,18.46
160,275,120,235,61.7,580.545,944.928,19.13
160,275,120,235,76.9,572.688,948.016,20.74
160,275,120,235,76.2,578.799,952.648,20.96
160,275,120,235,109.8,571.815,954.192,24.72
160,275,120,235,105.1,571.815,971.176,24.77
203,305,165,267,39.6,244.688,199.176,19.4
203,305,165,267,64.6,261.744,199.176,18.9
203,305,165,267,80.6,261.744,199.176,19.4
203,305,165,267,76.2,268.27,199.176,18.4
203,305,165,267,75.9,304.168,288.702,23.7
203,305,165,267,76.7,391.018,304,24
203,305,165,267,93.9,253.216,199.176,21
350,500,300,450,78.5,312.4,846.65,115.1
350,500,300,450,68.4,331.38,851.5,126.7
350,500,300,450,68.4,331.38,1419.5,144.5
350,500,300,450,68.4,580.68,851.5,135.2
350,500,300,450,78.5,1032.24,1907.36,239
350,500,300,450,35.5,312.4,528,79.7
350,500,300,450,33.5,331.38,1419.5,117.3
350,500,300,450,35.5,624.36,846.65,116.8
350,500,300,450,33.5,580.68,851.5,125
350,500,300,450,35.5,1032.24,1907.36,158
420,420,370,370,76,228.69,357.588,84.9
420,420,370,370,78,228.69,635.6,104.23
350,500,300,450,35,195.965,304,60.6
350,500,300,450,67,89.4,705.483,56.3
250,700,200,650,76,195.965,357.588,73.54
250,700,200,650,78,195.965,635.6,95.86
300,350,260,310,44,310.43,311.6,45.9
300,350,260,310,41.7,405.89,415.74,54.1
300,350,260,310,41.7,202.76,404.94,38.1
300,350,260,310,42.7,299.7,607.92,50.2
300,350,260,310,42.6,351.87,717.36,56.4
300,400,270,370,73.7,345.092,1399.844,86.8
300,400,270,370,73.7,348.624,1545.403,88
300,400,270,370,73.7,348.624,1951.11,89.4
300,400,270,370,84.7,348.624,630.568,74.5
300,400,270,370,84.7,348.624,747.384,70
300,400,270,370,83.1,345.092,360.24,74.2
300,400,270,370,83.1,348.624,497.838,69.9
350,500,300,450,29.3,185.13,860.1876,57
200,300,168,268,42.1,335.4148,311.7444,19.7
200,300,138,238,39.4,335.4148,311.7444,12.5
200,300,168,268,60.8,335.4148,311.7444,19.9
400,600,310,510,35.4,367.3853,566.4464,123
400,600,310,510,35.4,384.7536,631.218,124
400,600,310,510,35.4,346.8138,595.232,89
400,600,310,510,35.4,476.8533,777.6188,109
400,600,310,510,35.4,424.3776,736.7448,108
400,600,310,510,35.4,329.1084,513.5344,106
400,600,310,510,35.4,585.0816,1020.006,120
254,381,216,343,28.4,338.4296,387.8304,39.11
254,381,216,343,30.6,466.6731,511.3044,47.93
500,500,454,454,35.3,366.6876,645.627,140.01
500,500,430,430,35.3,366.996,646.17,143.1
800,400,730,330,47.1,527.2612,528.6,156.88
324,324,304,304,17.2,128.8224,154.7658,21.79
600,600,537,547,48.4,199.9238,454.4227,150.79
600,600,538,531,47.3,437.0252,937.998,254.08
600,600,520,525,54.8,802.0056,1719.263,368.22
600,600,533,534,69.8,466.253,980.3592,273.28
600,600,535,537,77.8,802.0056,1719.263,355.85
600,600,523,536,79.8,1013.979,2328.786,437.85
600,600,532,533,94.8,437.0252,937.998,266.14
600,600,545,540,91.6,748.3956,1719.263,351.17
600,600,540,543,96.7,1169.976,2655.989,467.26
420,420,370,370,78,161.315,705.483,94.31
250,700,200,650,78,166.32,635.6,87.51
497,711,437,651,35.1,378.333,488.236,209.98
503,710,443,650,39.2,377.34,2303.844,278
500,721,440,661,46.5,505.68,1288.906,300.66
501,722,441,662,105.7,576.63,1322.974,343.08
400,600,310,510,36.5,386.3634,652.8688,128
400,600,310,510,36.5,355.5288,592.781,130
400,600,310,510,36.5,478.5592,799.0991,143
400,600,310,510,36.5,479.8926,787.2183,125
350,500,300,450,78.5,831.152,627.704,155.3
350,500,300,450,68.4,1432.5,348.7244,144.5
350,500,300,450,35.5,1489.8,627.704,138
203,305,300,450,35.5,1432.5,332.8733,117.3
203,305,165,267,93.9,195.6248,254.9387,21
160,275,130,245,41.7,957.218,580.3233,16.6
160,275,130,245,36.3,934.0595,586.432,15.3
160,275,130,245,76.9,947.9546,572.4693,20.7
254,381,215.9,342.9,38.61,200.9585,223.8203,29.3
254,381,215.9,342.9,26.48,382.2192,284.3101,32.4
254,381,215.9,342.9,29.85,207.0862,168.5422,30.4
254,381,215.9,342.9,27.99,383.0079,507.6436,55.7
254,381,215.9,342.9,45.78,371.9665,728.4807,76.7
254,508,215.9,469.9,26.89,336.2452,483.053,72
254,254,215.9,215.9,38.2,196,219,22.6
178,356,140.6,324,39.9,102,109,12.8
350,500,300,450,67,706,89,56.3
150,1000,98,948,44.2,869,362,68
240,440,190,390,19,232,192,28.6
186,580,139,535,17.6,180,129,20
240,440,190,390,39.1,397,331,46.4
240,440,190,390,18.5,309,129,26
254,381,216,343,29.2,453.0834,495.36,47.3
254,381,216,343,26.8,722.56,166.2036,32.51
254,254,216,216,27.2,429.4836,382.3776,25.29
254,508,216,470,26.9,493.038,674.909,71.91
